"","text","created_at","user_location"
"1384","houston opened  citys first free covid19 vaccination clinic today  vaccine  free  available   public   meet phase 1a  phase 2b criteria

 can  take 750 people today  heres  information",2021-01-02,"Houston, TX"
"1400","
tracking number  covid19 vaccine distribution  administration 
data   december 30th 2020
cdc covidvaccine tracker publichealth vaccinations data thepublichealthpharmacist healthcaremediacontributor wisetoimmunize 

",2021-01-02,"Las Vegas, NV"
"1420","romney  right  pushing   much  aggressive vaccine plan  us surpasses 20 million covid19 cases",2021-01-02,"McLean, VA"
"1430","sad  say  predicted  arizona vaccination covid19 
",2021-01-02,"Mesa, Arizona"
"1464","bold move since pfizer believes  effectiveness   vaccine declines   person gets 21 days  doses",2021-01-02,"Odessa, TX"
"1470","cars upon cars upon cars 
city  houston opens  first public covid19 vaccine site  vulnerable populationsand   callsrequests immediately overwhelm  system 



video nbc news producer amy calvin",2021-01-02,"Miami, FL"
"1476","    grateful  now  multiple covid19 vaccines     stoked    photos  needles  people getting stuck  needles yes   take  vaccine    look away   get  dont show   photos   needles please",2021-01-02,"California, USA"
"1477","hopefully    war now   enough people vaccinated  rounding  corner  must rid covid19   lives  find  way back   form  normal
vaccineswork vaccination",2021-01-02,"San Francisco, CA"
"1479","india  followed  uk  granted emergency approval   coronavirus vaccine developed  astrazeneca   university  oxfordvia",2021-01-02,"Vienna, VA"
"1527","teachers  essentialworkers   need  covid19 vaccine now keepoueacherssafe safeschools",2021-01-02,""
"1550","study  new highlycontagious b117 variant strain  sarscov2do  reopenuntil  families  fully vaccinated  covid19 airbornevirus t1dmom selfisolate wearamask shareifyoucare",2021-01-02,"Los Angeles, CA"
"1693","cnn 3 million doses   coronavirus vaccine   administered   united states",2021-01-02,"Washington, DC"
"1710","fauci us  continue giving vaccine doses weeks apa

",2021-01-02,""
"1713"," thanks    scientists  logistics expes  got us   point without     little hope 2021  looking brighter thank  basic science superheroes covidvaccine covid vaccine covid19education protected spreadknowledgenotfear",2021-01-02,"Manhattan, NY"
"1803","wuhan     vaccine  can    oh well",2021-01-02,"San Diego, CA"
"1810","unanswered questions confusion  covid19 vaccine rollout continues",2021-01-03,"New York, NY"
"1925","dallas county now   covid19 vaccination registration site",2021-01-03,"Dallas, TX"
"1934","  amazing sacrifice  know       wear  mask get  vaccine   can",2021-01-03,""
"1939","remember  vaccine  free  one  charge",2021-01-03,"Lakewood Ranch Florida"
"1942","eventually    well


 covid19 vaccine distribution stas   key facts  pfizer moderna shots",2021-01-03,"USA/Philadelphia, PA"
"1950","florida  nearly 32000 cases  two days  217  deaths vaccination roll    disaster deathsantis closed  twitter account   got tired  everyone telling  hes  moron",2021-01-03,"Florida, USA"
"1963"," depament  15 fulltime employees 9 patime amp 6 volunteers chief whitham said 9  received  first dose   covid19 vaccine 3  firefighters  covid19 amp recovered    first line  duty death  edwardsville fd since 1985",2021-01-03,"Kansas City, MO"
"1979","wow blm  maga activists agree      mandatory vaccine 

covid19 valimai vacunacovid19",2021-01-03,"New York, NY"
"1980","  covid19 vaccine dashboard 
 

  updated weekly  wednesdays  shows    1229  first dose   administered  330 individuals  cass county  75842 individuals  indiana",2021-01-03,"Cass County, Indiana"
"2043","pharmacist tampered  covid19 vaccine two nights   rowvia",2021-01-03,"Plainville, CT"
"2056","black lives matter  maga activists unite   common cause  get linda rosenthal  pull  forced vaccination bill 


covid19 blacklivesmatter maga vacunacovid19",2021-01-03,"New York, NY"
"2058","  going  get  covid19 vaccine 

please retweet",2021-01-03,"Colorado"
"2072","anyway glad repoers ask questions  job process  get better must always  better yes city    explain  1000 people got  covid19 vaccine today     coming days   also reason  celebrate onward",2021-01-03,"Houston, Texas"
"2111"," hope thatand team can create  vaccine distribution plan  works  efficiently  effectively   ",2021-01-03,"Chicago & Grand Rapids "
"2121","  actual f           many stupid ass people scattered amongst  rest  us  believe  science amp critical thinking amp   ability  disseminate information  want  vaccine amp   inexcusable people like   access  ",2021-01-03,""
"2126","  get  covid19 vaccine     covid19 vaccination vaccine",2021-01-03,"Charlotte,NC United States"
"2289","pretty impressive  well israel  managed  secure doses  vaccine  distribute  mom  sister   already received dose 1",2021-01-03,"Boulder, CO"
"2320","another reason  get  gsk shingrix vaccine 2 booster  gt50  1 shot   50   eliminate  horror  everyone took  1 shot  1st eliminate covid19",2021-01-03,"San Francisco, CA, USA"
"2324","unfounately  covid19 vaccines  work  covid19 mutates aggressively  infect  vaccinated  becoming super duper mutant covid

see pinned tweet",2021-01-03,"Arlington, Virginia"
"2410"," re  covid19 vaccination goals
communication
coordination amp
care
every capable mind   american public  government must join hands  create  safe distribution  covid19 vaccine    impoantmoney  reputation   survival  humanity jtmh",2021-01-03,"fluffy.cloud.inheaven@gmail.co"
"2412","  brilliance   desantis administration continuesbroward county covid19 vaccination poal appears  go offline sholy  relaunching
",2021-01-03,"Bensalem PA near Philadelphia"
"2433","17 days   inauguration ofandin washington dc 1 priority   get  covid19 vaccination rate   millionsday    medically eligible  received  doses  30 june 2021",2021-01-03,"Carlsbad, CA"
"2437","imagine   city  corruptyou open  dt civic center   covid19 vaccine program   give parking tickets   65 age elderly   waiting  line  get  amarillo",2021-01-03,"Dallas/Amarillo , Texas"
"2452"," new solutions aim  help orgs provide accurate vaccine info inc survey  dashboard templates configured  collect info  race ethnicity gender  age   vaccinated displayeing key metrics racialequityvaccinations",2021-01-03,"SHE is somewhere under the sea"
"2469"," think  makes total sense  need   number  people vaccinated   sho time even  folks  get  first dose get delayed reaching  threshold  95 except  health care workers imo",2021-01-03,"Los Angeles, CA"
"2486","  insane  need  lay   fake newsmax  shit like  covid19 numbers  real  man just   shit job  rolling   vaccine amp help   american people",2021-01-03,"Tennessee "
"2499","number  covid19 vaccine doses already   city  number   already administered  sta  included   daily indicators",2021-01-03,"Manhattan, New York"
"2545","people  afraid   vaccine  covid19   mystery  thing   solve   problems    going   yet many    people sow doubt  ",2021-01-03,""
"2548","future id docdemystifying mrna sarscov2 vaccine presentation  arabic vaccine expected   available  lebanon  february still  lot  misinformation   media",2021-01-03,"Indianapolis, IN"
"2692","  ridiculous   teachers   go back  classrooms  need  vaccine  think   bare minimum job expectation   state officials  able  distribute  lifesaving vaccines  people quickly    products expire",2021-01-03,"Little Rock, AR"
"2702"," grateful    able  get  first dose   moderna covid19 vaccine  weekend",2021-01-03,"Baltimore, MD"
"2757","frightening since   now   usa  vaccination  happening quickly enough",2021-01-04,"Philadelphia, PA"
"2762","great news  sister  74 yo   nsg home rehabilitation unit   cracked pelvis  shoulder got  first vaccine today  covid19 policies  procedures   spectacularso thankful  ",2021-01-04,"Chattanooga, TN"
"2790","foy bluefield state college employees  administered  covid19 vaccine  december 31 bstatesafe

read ",2021-01-04,"Bluefield, WV"
"2828","atlanta people vaccine information 

covid19 vaccine",2021-01-04,"Atlanta, GA - USA"
"2844"," covid19 vaccine  work   covid19 vaccine hits  market  obsolete

covid19 mutates aggressively employing counter measures   covid vaccines becoming super duper covid


see pinned tweet",2021-01-04,"Arlington, Virginia"
"2870","gov cuomo says  wont get  vaccine  hardhit communities get access  shotscuomo governorcuomo covidvaccine covidvaccines covid covid19 coronavirus vaccine vaccinestrategy 
",2021-01-04,"New York, NY"
"2878","  valid concerns   go unaddressed     seize  moment  disrupt  ultimately dismantle  culture  medical exploitation abuse  neglect  black americans covid19 vaccine distribution frontlineworkers",2021-01-04,"Washington, DC"
"2880","thank  mayormy hope  prayer    filipino   access  covid19 vaccine especially  individuals  cant afgord  get one",2021-01-04,"New Jersey, USA"
"2912","great read   new yorker wild   moderna vaccine  essentially designed  january last year",2021-01-04,"Seattle, WA"
"2928"," repos  true  israel  distributing covid19 vaccine  israelis    palestinians  actions  genocidal  light   moality risk  covid19  nonimmunized persons",2021-01-04,"Virginia, USA"
"2943","people living  hiv  initially excluded  pfizer  modernas covid19 vaccine trials   changed   help  committed activistsvia",2021-01-04,"Aiken, SC"
"2949","  open schools  vaccinated",2021-01-04,"Vancouver, WA"
"2973","ems worker proposes  nurse  covid19 vaccine appointment",2021-01-04,"Michigan, USA"
"3017","update   6   morning  covid19 vaccine distribution sitehas reached capacity   1000 allocated vaccines   gates  now closed  incoming traffic  site  scheduled  reopen tomorrow morning",2021-01-04,"Daytona Beach, FL"
"3028","coronavirus updates dr anthony fauci says 100m vaccine shots  realistic goal  first 100 days  joe bidens presidency

",2021-01-04,"New York, USA"
"3033","watch  latest   vaccine distribution across  world  nonstop news onat 645 ",2021-01-04,"Columbia. Missouri "
"3059","coronavirus covid19 nohwest oregon oregon   41  nation   slow coronavirus vaccine rollout trailing us average",2021-01-04,"Rancho Mirage/Santa Barbara"
"3068","  duval county covering  vaccination roll  today     need  know",2021-01-04,""
"3069"," firstemployee  receive  covid19 vaccine  noh central florida sam overly received  second pfizer shot  morning",2021-01-04,"Gainesville, FL"
"3077","thanks   coverageonenewyork  cant  set   super vaccination center  javits barclays center msg  yankee stadium nyc needs  better plan  covid19 vaccinations   leading  charge  lets hear  logistics task force please",2021-01-04,"NYC"
"3104","   42 million americans given  first dose   covid19 vaccine  far expes said  pace  inoculation   country needs  speed ",2021-01-04,"Fort Myers, Florida"
"3117","   group 1b  covid19 vaccine thank youfor  well organized amp efficient vaccine drive  clinic txlege denton county  getting  done",2021-01-04,"Carrollton, TX"
"3121"," broadbent arena preparing   press conference wandthe arena  opening  morning   first mass vaccination drivethru site   city first   list   coronavirus vaccine   healthcare workers amp first responders",2021-01-04,"Louisville, KY"
"3140","try  one weird trick  get vaccinated earlycovid19 vaccine",2021-01-04,"Tallahasssee, FL"
"3177","  anyway  find    infected front line workers   initial covid19 vaccine shotsi believe kaiser     front line workers inoculated   time      rumors running rampant  getting  one shot  pretty alarming",2021-01-04,""
"3180"," entire family got  first dose  covid19 vaccine  grateful",2021-01-04,"New York, USA"
"3187","today   unblinded   covid19 vaccine trial learned learned  received  vaccine doses   summer",2021-01-04,"Nashville, TN, USA"
"3207"," blue ridge health district  begin hosting covid19 vaccine clinics wednesday   former kma parking lot near  intersection of29  hydraulic rd  clinic  offer vaccines  ems providers dialysis center staff  region ten residential facility staff",2021-01-04,"Charlottesville, VA"
"3210","breaking news

 vaccine microchip featureschecks notes 

 foot switch treble  bass controls helpfully labeled   diagram",2021-01-04,"Stanford, CA"
"3213","heywhen   going  get  covid19 vaccine shot",2021-01-04,"Chicago, Illinois"
"3216"," schedule  appointment please fill   required questionnaire    can gather information regarding  readiness  covid19 vaccination  offer guidance  instruction  ensure  safety",2021-01-04,"Washington, DC"
"3241","nearly 105000 new york city residents  received  first dose   coronavirus vaccine   sunday representing  little  1   citys total population",2021-01-04,"New York, NY"
"3264","makes  wonder    invested   vaccine companies  something far worse",2021-01-04,"Arizona, USA"
"3274","     finally  second dose thank  jacksonhealth   privilege
now     us get vaccinated   can end  sooner  later
covid19 covidvaccine seconddose crashcovid",2021-01-04,"Orlando, FL"
"3276","  get  covid19 vaccine  texas",2021-01-04,"Austin, TX"
"3290","  gotten vaccinated  coronavirus",2021-01-04,"New Jersey"
"3298"," sure  s logic works    put  strict rules  punishments  giving  vaccine docs   afraid  give   theyre  used  punishments  docs    catch22 situation umm 

logic covid19 nygov",2021-01-04,"Brooklyn, NY"
"3318"," recommend  enoughhelen    top  vaccine rollout",2021-01-04,"San Diego, CA"
"3350"," said   get  vaccine  gotta post   moderna covid19",2021-01-04,"Corpus Christi, TX"
"3354","county  conducting  brief anonymous survey  thoughts  needs regarding  covid19 vaccine  help  better serve  community

go ",2021-01-04,"Boulder, Colorado"
"3363","second dose  covid19 vaccine  scheduled   coming friday    excited  reach  great degree  immunity  help  community come closer   degree  normalcy",2021-01-04,"Miami, FL"
"3401"," know people  tired  hearing   pandemic  im looking forward  getting  vaccine   amp things returning  normal  someone  works   enteainment industry  cant wait     safe  go back  work coronavirus actor actress",2021-01-04,"Las Vegas, NV"
"3417"," called  pharmacistto ask   covid19 vaccine        said  cvs     till  march",2021-01-04,"Las Vegas, NV"
"3433"," healthcare amp essential workers  vaccinated   make sense  prioritize vaccinations  everyone    yet contracted covid19",2021-01-04,"Chicago, IL"
"3454","  can get   dave matthews tickets  covid19 vaccine    place   florida",2021-01-04,"Wesley Chapel, FL"
"3455","jordan health   news read  jordan health staff vaccination  covid19",2021-01-04,""
"3458"," give covid19 update  wednesday  2 pm  focus  vaccine roll ",2021-01-04,"Richmond, VA"
"3486","breakingpolice officers     first cops  louisiana  metro nola  get  covid19 vaccine find  whyin  exclusive ",2021-01-04,"New Orleans, LA"
"3492","updatesays first responders  littlerock  get  covid19 vaccine staing tomorrow oneand somestaffarnews",2021-01-04,"Little Rock, AR"
"3504","





 johnson amp johnson covid19 vaccine may  upper hand  pfizer moderna",2021-01-04,"Madison"
"3513","anyone  asthma   gotten  covid vaccine  side effects  anything  worry  covid19 covidvaccine asthma",2021-01-04,"texas"
"3532","coming upis live   latest   covid19 vaccine rollout  nola area pharmacies",2021-01-04,"New Orleans, LA"
"3599","brandenburg 46   admitted conspiracy theorist  told investigators  intentionally tried  ruin  vaccine    hu people  changing  dna",2021-01-04,"Venice, CA"
"3600","   individual  received  covid19 vaccine   city  el paso    reminder  return  january 21 2021    return    multiple sclerosis    definitely  need   vaccination",2021-01-04,"31.707616,-106.192144"
"3604","   individual  received  covid19 vaccine   city  el paso    reminder  return  january 21 2021    return    multiple sclerosis    definitely  need   vaccination",2021-01-04,"31.707616,-106.192144"
"3612","austin latino coalition asks local leaders   equitable covid19 vaccine resourcesvia",2021-01-04,"Austin, TX"
"3614","   indigenous fam   getting  covid19 vaccine please let  know   get  super powers  need  get rid  pipe lines  coal plants",2021-01-04,"6x12"
"3628","isnt  flu shot  definition  vaccine   covid19 didnt large numbers  people die  influenza every year   havent flu shots  getting  much hype   covid19 vaccine  call past flu vaccines shots    technically vaccines",2021-01-04,"🌋, CA"
"3632","  speak   covid vaccine     vaccine cuts slow vaccine rollouts     man  tested positive  covid19  day  taking  vaccine  like   like throw   covid vaccine    called  conspiracy theorist",2021-01-04,"Seattle, WA"
"3644","maybe single dose strategy makes sense perhaps  phase 1  public health covid19 vaccination strategy  maximize  health gains  every single vaccine doseannals  internal medicine",2021-01-04,""
"3662","  use  javits center   big vaccine hubcouldnt  helpnycvaccine covid19 nyc javitscenter",2021-01-04,"New York, NY"
"3675","breaking    wisconsin pharmacist    charged  prosecutors say  ruined 57 vials   moderna covid19 vaccine 

 faces   135 years  prison",2021-01-05,"Milwaukee, WI"
"3676"," happy  seeget  vaccination  people  texas need   stay healthy  protected   virus rep dutton",2021-01-05,"Austin"
"3698","23of  population  tennessee  vaccinated  nothing  write home ",2021-01-05,"Nashville"
"3701","lucky   getting dose 1   covid19 vaccine  week   states rollout   abysmal",2021-01-05,"Baltimore, MD"
"3769","im  excited   first respondersampwill receive  covid19 vaccination stas next week  monday 

   exciting news  quincy quincyma quincystrong quincyfinest covid19mavaccine",2021-01-05,"Quincy, Massachusetts"
"3789","single dose vaccination   surrender strategy full stop",2021-01-05,"Bellevue, WA"
"3800","wowget healthcare workers vaccinated 

 get la   populated   reason     top priority considering cases

",2021-01-05,"Valley Village, Los Angeles"
"3801","get vaccinatedwear masksocial distancestay home

covid19 arlington update 142021
 
76001 cases 2226 deaths 19
76002 cases 2435 deaths 20
76005 cases 79death 1 
76006 cases 1649 deaths 10
76010 cases 4453 deaths 36
76011 cases 1732 deaths 29",2021-01-05,"Arlington, Texas"
"3804","mr       covid19 vaccine may    instead       wait  believe   bring  good karma think   tweet  back",2021-01-05,"Norton Shores, Michigan"
"3805"," 1956   effo  promote  polio vaccine elvis pressley rolled  sleeve    photo opp

 2020   mitch mcconnell  nancy pelosi promoting  covid19 vaccine   photo opps",2021-01-05,"Concord, NC"
"3806","prisoners need   vaccinated early",2021-01-05,"Silver Spring, MD"
"3810","victimized instead  vaccinated   lee county residents called  make  covid19 vaccine appointment   greeted  scammers   end   line",2021-01-05,"Fort Myers, Florida"
"3820","wake uptrust fund babys rules notabout cv  btw has994 survival rate  invested  faucs vaccine false cases  people arent tested  counted states   restrictions  highest cases becauses  lowers immunity especially wearing mask",2021-01-05,""
"3822","arlington fire depament receives additional 4500 covid19 vaccines vaccination site reopens jan 5city  arlington",2021-01-05,"Arlington, Texas"
"3825","families aclu push  prioritize prisoners  vaccine sho listnbcct",2021-01-05,"Hartford, CT"
"3861","a8 hope  get vaccinated  covid19   point  year    hope   able  travel somewhere usgeocachinghour",2021-01-05,"New Castle, DE"
"3907"," also think vsafe  add 23 additional questions 1    previously dx  covid19 2    amp 3    think   invited  receive  vaccine eg hcw congregate care setting etc",2021-01-05,"Columbus, OH"
"3984"," ever happened towilling  take  covid19 vaccine can      chicken",2021-01-05,"Washington, DC & South Florida"
"4013","today  received  moderna covid19 vaccine    grateful  every single person  played  role  getting    pfizer vaccine   hard work  greatly appreciated 

covidvaccinated covid19vaccine ernurse thankyouscience thankyouscientists moderna",2021-01-05,"Roseville, CA"
"4039","pharmacist accused  spoiling covid19 vaccine believed   change peoples dna officials say",2021-01-05,"Sunny, Funny, Los Angeles, CA"
"4076","  disaster     worlds hot spot  23 weeks ago  ca knocked us    1 site vaccinating  entire county lines  miles long amp people  line turned away amp gave vaccine  friends relatives  dark
clusterfck",2021-01-05,"Tennessee, USA"
"4100","biden trump coronavirus vaccine rollout     godawful sta
 anyone tell biden     noted   fastest vaccine  history   approved  delivered  public    one complaining  trump moved thru   fast
",2021-01-05,""
"4107","access  covid19 vaccinations  florida  hard  come  seniors  currently  vaccinated  people spend hours trying  register online  websites  crashhas failed florida yet 
desantis deathsantis failedgovernor",2021-01-05,"Port Richey, FL"
"4111"," first wary  vaccine cherokee speaker says  safeguards language culture",2021-01-05,"Austin, TX"
"4125","iowa vaccination rate  national average",2021-01-05,"Des Moines, Iowa  USA"
"4156"," military wants volunteers  test another covid19 vaccine candidate",2021-01-05,"Washington DC/Tampa Bay"
"4160","  johnson amp johnson covid19 vaccine works covid19",2021-01-05,"Buffalo"
"4171","note     line  receive  covid19 vaccine   tn riverpark  must wear  mask  exiting  vehicle  use  poable restrooms maintain 6 feet distance  others questions call 4232098383",2021-01-05,"921 E. 3rd St. Chattanooga, TN"
"4177"," find  evidence   covid19 vaccination program formerly known  operationwarpspeed began   bhag   4000000 shotsinarms per day",2021-01-05,"St. Louis, Missouri"
"4184","ron desantis remains  covid denier   never occurred    hospitals   busy  overflowing icus   able  triage   people seeking  vaccine    100  handled  county health depts",2021-01-05,"Tampa, Florida"
"4191","due  s incompetent coronavirus response   now   point  discussing vaccine rationing  triage

republicans  swift  object  picking winners  losers  far  businesses

 object  ppl literally   choose  lives  dies",2021-01-05,""
"4196","    minority    covid19 vaccination outweighs  risk   infection ",2021-01-05,"Philadelphia"
"4213","tracking  coronavirus vaccine rollout   us",2021-01-05,"USA"
"4233"," got  second dose   covid19 vaccine todaylooking forward   time  everybody around  world   oppounity    vaccinated trust science",2021-01-05,"Dallas, TX"
"4237","frustratinglyhas one   slowest vaccine roll outs   countrysimpler categories  standing  state vaccination sites  help speed things upspeed  impoant ",2021-01-05,"Blowing Rock, NC"
"4254","says     19 decrease  covid19 cases  4 weeksreceived  first 2700 vaccine doses  already vaccinated city health staff  today  sta vaccinating health care workers amp first responders",2021-01-05,"Baltimore, MD"
"4260","great gov job desantis dont fret cnn  longer relevant 
gov ron desantis scolds cnn repoer  snarky question  coronavirus vaccine rollout

",2021-01-05,""
"4443","please  aware   offering  vaccine early scam please consult   doctor  stay current   plans   vaccine rollout",2021-01-05,"Los Angeles, CA"
"4470"," thursday osdh launches online poal  easy covid19 vaccine registration

",2021-01-05,"Tulsa, OK"
"4541","14 vaccinated  ohio  far hope  math  correct",2021-01-05,"Cincinnati Ohio"
"4548","now ridoh providing  covid19 vaccine briefing medical dir dr philip chan says     good place  says  states biggest obstacle   getting  lot  vaccine  currently enough  vaccinate 15  ri population per week",2021-01-05,"Providence, RI"
"4554","  impoant    meet   person  say thank     people  clean  hospitals 
kenzo mukendi  fully inoculated   2nd covid19 vaccine shot  upstate hospital  syracuse 
tonight  nbc3 news  700",2021-01-05,"Syracuse, NY"
"4575"," healthcare providers  public health officials hold dry runs   covid19 vaccination program  india presence  mind  quick action  key  manage  potential crisis

",2021-01-05,""
"4601","jesus fucking christ mustread thread covid19 vaccine disinformation",2021-01-05,"Tallahasssee, FL"
"4611","please sign   theletter informingandthat  human services workforce needs   prioritized   covid19 vaccination distribution plan alwaysessential",2021-01-05,""
"4653","publix  offer covid19 vaccine  3 fla counties",2021-01-05,"U.S. Southern Mother Earth"
"4658","dbh staff  work  close contact  community members  staed  receive  covid19 vaccine heres dbhs chief psychiatric officer teresa fraustomd receiving  learn   vaccine distribution  sbcounty atfirstresponders",2021-01-05,"San Bernardino, CA"
"4731","mom bragging  2021 

momtexts vaccine covid19",2021-01-05,"Nashville, TN"
"4737","got  covid19 vaccination today

covid19vaccination covidvaccine vaccineswork vaccine",2021-01-05,"Boulder, CO"
"4746","happening now gov hogan providing update  covid18 vaccine distribution plan  maryland",2021-01-05,"Baltimore, MD"
"4753"," first covid19 vaccination clinic  last tuesday  woodbury executive director mike karel received  vaccineweve  questions   people    getting  vaccine mike  thumbs  feeling great awaiting  next round late january carenotcovid",2021-01-05,"Maple Grove, MN"
"4755","floridahad  tense exchange  arepoer  monday  tuesday  met   hospital ceo  tampa  announced  new coronavirus vaccination plan without informing local news outlets   stops",2021-01-05,"Washington, DC"
"4779","another update  pa  phase one  covid19 vaccine  include teachers adults 75 amp older high risk   incarcerated",2021-01-05,"DMV"
